Name,Brand,Price,Rating,Product_URL
GEL-Quantum® 360 5,ASICS,$149.95 ,4,https://www.zappos.com/p/asics-gel-quantum-360-5-mako-blue-mako-blue/product/9216119/color/684988
Freedom ISO²,Saucony,$159.95 ,4,https://www.zappos.com/p/saucony-freedom-iso-olive-shade/product/9060008/color/792264
Peregrine 10 GTX,Saucony,$140.00 ,5,https://www.zappos.com/p/saucony-peregrine-10-gtx-grey-black/product/9339324/color/408
Cloudflow,On,$139.99 ,4,https://www.zappos.com/p/on-cloudflow-black-asphalt-1/product/8810879/color/839263
Cloudflow,On,$139.99 ,4,https://www.zappos.com/p/on-cloudflow-citrus-sea/product/8810879/color/839261
Cloudflow,On,$139.99 ,4,https://www.zappos.com/p/on-cloudflow-rust-limelight/product/8810879/color/839258
Fresh Foam 1080v9,New Balance,$89.97 ,4,https://www.zappos.com/p/new-balance-fresh-foam-1080v9-summer-fog-black/product/9123894/color/789364
Wave Creation 20,Mizuno,$169.95 ,4,https://www.zappos.com/p/mizuno-wave-creation-20-stormy-weather-silver/product/9150765/color/788027
Wave Creation 20,Mizuno,$169.95 ,4,https://www.zappos.com/p/mizuno-wave-creation-20-tradewinds-black/product/9150765/color/423389
Wave Creation 20,Mizuno,$169.95 ,4,https://www.zappos.com/p/mizuno-wave-creation-20-black/product/9150765/color/3
Wave Creation 20,Mizuno,$169.95 ,4,https://www.zappos.com/p/mizuno-wave-creation-20-beetle-metalic-shadow/product/9150765/color/809985
Dyad 11,Brooks,$130.00 ,5,https://www.zappos.com/p/brooks-dyad-11-antarctica-grey-peacoat/product/9305398/color/836848
Dyad 11,Brooks,$130.00 ,5,https://www.zappos.com/p/brooks-dyad-11-black-ebony-blue/product/9305398/color/810927
GEL-Quantum® 180 5,ASICS,$120.00 ,5,https://www.zappos.com/p/asics-gel-quantum-180-5-black-white/product/9319221/color/151
GEL-Contend® 6,ASICS,$49.95 ,4,https://www.zappos.com/p/asics-gel-contend-6-carrier-grey-sheet-rock/product/9314672/color/839972
GEL-Contend® 6,ASICS,$49.95 ,4,https://www.zappos.com/p/asics-gel-contend-6-black-black/product/9314672/color/183092
GEL-Contend® 6,ASICS,$49.95 ,4,https://www.zappos.com/p/asics-gel-contend-6-grand-shark-vibrant-yellow/product/9314672/color/839973
GEL-Contend® 6,ASICS,$49.95 ,4,https://www.zappos.com/p/asics-gel-contend-6-sheet-rock-black/product/9314672/color/807820
GEL-Contend® 6,ASICS,$49.95 ,4,https://www.zappos.com/p/asics-gel-contend-6-black-carrier-grey/product/9314672/color/807728
GEL-Contend® 6,ASICS,$49.95 ,4,https://www.zappos.com/p/asics-gel-contend-6-sheet-rock-asics-blue/product/9314672/color/840639
GEL-Contend® 6,ASICS,$49.95 ,4,https://www.zappos.com/p/asics-gel-contend-6-graphite-grey-black/product/9314672/color/145876
1500v6,New Balance,$109.99 ,4,https://www.zappos.com/p/new-balance-1500v6-supercell-white/product/9287564/color/683046
1500v6,New Balance,$100.14 ,4,https://www.zappos.com/p/new-balance-1500v6-lemon-slush-black/product/9287564/color/832827
1500v6,New Balance,$98.44 ,4,https://www.zappos.com/p/new-balance-1500v6-vision-blue-neo-flame/product/9287564/color/844607
Type A9,Saucony,$100.00 ,,https://www.zappos.com/p/saucony-type-a9-citron-orange/product/9243315/color/377459
Fresh Foam Zante Pursuit v1,New Balance,$56.15 ,4,https://www.zappos.com/p/new-balance-fresh-foam-zante-pursuit-v1-black-castlerock/product/9152067/color/105274
Escalante 2,Altra Footwear,$129.95 ,4,https://www.zappos.com/p/altra-footwear-escalante-2-blue/product/9262282/color/158
Escalante 2,Altra Footwear,$129.95 ,4,https://www.zappos.com/p/altra-footwear-escalante-2-black-black/product/9262282/color/183092
Escalante 2,Altra Footwear,$129.95 ,4,https://www.zappos.com/p/altra-footwear-escalante-2-gray/product/9262282/color/8
Escalante 2,Altra Footwear,$129.95 ,4,https://www.zappos.com/p/altra-footwear-escalante-2-lime-teal/product/9262282/color/707310
Escalante 2,Altra Footwear,$129.95 ,4,https://www.zappos.com/p/altra-footwear-escalante-2-black/product/9262282/color/3
Escalante 2,Altra Footwear,$129.95 ,4,https://www.zappos.com/p/altra-footwear-escalante-2-maroon/product/9262282/color/3257
Timp 2,Altra Footwear,$139.95 ,3,https://www.zappos.com/p/altra-footwear-timp-2-gray-blue/product/9330821/color/25301
Timp 2,Altra Footwear,$139.95 ,3,https://www.zappos.com/p/altra-footwear-timp-2-dark-red-orange/product/9330821/color/459000
