name,p_link,price,store_name
"TCL - 75"" Class - LED - 8 Series - 2160p - Smart - 4K UHD TV with HDR - Roku TV $1800",https://slickdeals.net/f/14036471-tcl-75-class-led-8-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv-1800?src=catpagev2,"$1,799.99",Best Buy
"Anker PowerCore 10000, External Battery $15 @ Amazon AC",https://slickdeals.net/f/14037794-anker-powercore-10000-external-battery-15-amazon-ac?src=catpagev2,$15,Amazon
EufyCam Wire Free HD Security 2-Cam Set $149 YMMV,https://slickdeals.net/f/14035598-eufycam-wire-free-hd-security-2-cam-set-149-ymmv?src=catpagev2,$149,Walmart
UE Wonderboom 2 - $69.99 - Amazon.com - select colors. Matches lowest price on camelx3,https://slickdeals.net/f/14037353-ue-wonderboom-2-69-99-amazon-com-select-colors-matches-lowest-price-on-camelx3?src=catpagev2,,Amazon
Military only AAFES $269 Hisense 50 in. Class R7E 4K UHD HDR Smart TV with Roku TV 50R7E,https://slickdeals.net/f/14036453-military-only-aafes-269-hisense-50-in-class-r7e-4k-uhd-hdr-smart-tv-with-roku-tv-50r7e?src=catpagev2,$269,
"Reolink 4K Ultra HD PoE Security Camera System, 4pcs Wired 8MP Outdoor PoE IP Cameras, 8MP 8-Channel NVR with 2TB HDD Video Surveillance System for 24/7 Recording, RLK8-800B4 $450",https://slickdeals.net/f/14037062-reolink-4k-ultra-hd-poe-security-camera-system-4pcs-wired-8mp-outdoor-poe-ip-cameras-8mp-8-channel-nvr-with-2tb-hdd-video-surveillance-system-for-24-7-recording-rlk8-800b4-450?src=catpagev2,$450,Amazon
Ugreen USB C 18W PD Charger with 3FT USB C to Lightning Cable [MFi Certified] - $11.99 and More + FSSS,https://slickdeals.net/f/14036648-ugreen-usb-c-18w-pd-charger-with-3ft-usb-c-to-lightning-cable-mfi-certified-11-99-and-more-fsss?src=catpagev2,$11.99,Amazon
Epson EF-100 Smart Streaming Laser Projector with Android TV - $799,https://slickdeals.net/f/14036945-epson-ef-100-smart-streaming-laser-projector-with-android-tv-799?src=catpagev2,$799,Amazon
"12"" Rel Acoustics HT/1205 Home Theater Subwoofer",https://slickdeals.net/f/14035403-12-rel-acoustics-ht-1205-home-theater-subwoofer-499-free-s-h?src=catpagev2,$499,Adorama
Olight Limited Edition PL-2 Valkyrie in Gunmetal Grey Color ONLY $73.47 + Free Shipping,https://slickdeals.net/f/14036663-olight-limited-edition-pl-2-valkyrie-in-gunmetal-grey-color-only-73-47-free-shipping?src=catpagev2,$73.47,
Olight i5T EOS EDC Flashlight 300 lumens $22.46,https://slickdeals.net/f/14036660-olight-i5t-eos-edc-flashlight-300-lumens-22-46?src=catpagev2,$22.46,Olight USA
GoPro Rechargeable Battery for HERO7/6/5 Black and HERO 2018,https://slickdeals.net/f/14034608-gopro-rechargeable-battery-for-hero7-6-5-black-and-hero-2018-9-99-free-shipping-over-49?src=catpagev2,$10,B&H Photo Video
TCL 6-series 65 inch 65R613 at Costco B&M YMMV - $499.99,https://slickdeals.net/f/14035061-tcl-6-series-65-inch-65r613-at-costco-b-m-ymmv-499-99?src=catpagev2,$499.99,
"Amazon, eufy Security, Wireless Video Doorbell (Battery-Powered) with 2K HD $169.99",https://slickdeals.net/f/14035658-amazon-eufy-security-wireless-video-doorbell-battery-powered-with-2k-hd-169-99?src=catpagev2,$169.99,
Swann 8 Channel Security System w/ 8x 4K Bullet Cameras + 2TB DVR,https://slickdeals.net/f/14034815-swann-8-ch-security-system-w-8x-4k-bullet-cameras-2tb-dvr-night-vision-monitor-sensor-google-alex-more-400-free-s-h?src=catpagev2,$399,Adorama
Samsung - Galaxy A10e with 32GB Memory Cell Phone (Unlocked) - Black w/Sprint Activation $49.99,https://slickdeals.net/f/14035913-samsung-galaxy-a10e-with-32gb-memory-cell-phone-unlocked-black-w-sprint-activation-49-99?src=catpagev2,$49.99,Best Buy
MacBook Pro 2020 $1750 Costco extra warranty,https://slickdeals.net/f/14036642-macbook-pro-2020-1750-costco-extra-warranty?src=catpagev2,,Costco Wholesale
*MILITARY ONLY AAFES*  Bose Frames Alto/Romdo Audio Sunglasses $119,https://slickdeals.net/f/14036546-military-only-aafes-bose-frames-alto-romdo-audio-sunglasses-119?src=catpagev2,$119,
Anker PowerConf Bluetooth Speakerphone $100 @Amazon,https://slickdeals.net/f/14036501-anker-powerconf-bluetooth-speakerphone-100-amazon?src=catpagev2,$100,Amazon
Boompods - Aquablaster Smart Portable Bluetooth Speaker with Alexa - Gray/Green $30,https://slickdeals.net/f/14036489-boompods-aquablaster-smart-portable-bluetooth-speaker-with-alexa-gray-green-30?src=catpagev2,$30,Best Buy
Bose On-Ear Wireless Bluetooth Headphones $99.96,https://slickdeals.net/f/14035253-bose-on-ear-wireless-bluetooth-headphones-99-96?src=catpagev2,$99.96,
Apple Watch Series 3 GPS - 38mm - Sport Band - Aluminum Case @ Walmart.com $179.99,https://slickdeals.net/f/14034431-apple-watch-series-3-gps-38mm-sport-band-aluminum-case-walmart-com-179-99?src=catpagev2,$179.99,Walmart
"Anker USB C Charger, 36W 2-Port PIQ 3.0 Type C Wall Charger $20.99 at Amazon",https://slickdeals.net/f/14036303-anker-usb-c-charger-36w-2-port-piq-3-0-type-c-wall-charger-20-99-at-amazon?src=catpagev2,,Amazon
"Sony XBR-85X950H 85"" 4K Ultra High Definition Android Smart LED TV (2020) - $3399 Shipped",https://slickdeals.net/f/14035286-sony-xbr-85x950h-85-4k-ultra-high-definition-android-smart-led-tv-2020-3399-shipped?src=catpagev2,"$3,399",Newegg
Google Home - Smart Speaker 29.00 YMMV check zip codes $29,https://slickdeals.net/f/14034050-google-home-smart-speaker-29-00-ymmv-check-zip-codes-29?src=catpagev2,$29,Lowe's
Multicom – 4K Certified 1.8m 6ft 2.0 HDMI Cable FREE SHIPPING Limit 1 $1.25,https://slickdeals.net/f/14036120-multicom-4k-certified-1-8m-6ft-2-0-hdmi-cable-free-shipping-limit-1-1-25?src=catpagev2,$1.25,
Blue Cross Blue Shield Members Can Get a FitBit Charge 4 for $115 + FREE Shipping,https://slickdeals.net/f/14035400-blue-cross-blue-shield-members-can-get-a-fitbit-charge-4-for-115-free-shipping?src=catpagev2,$115,
"Prepaid Phone Card (Email Delivery): AT&T, Tracfone, Simple Mobile & More",https://slickdeals.net/f/14034182-prepaid-phone-card-email-delivery-at-t-tracfone-simple-mobile-more-15-off?src=catpagev2,15% Off,
Canon Powershot G7x II Digital Camera with Photo Editing Software Kit - $479 Shipped,https://slickdeals.net/f/14035607-canon-powershot-g7x-ii-digital-camera-with-photo-editing-software-kit-479-shipped?src=catpagev2,$479,Newegg
JBL E25BT Wireless In-Ear Bluetooth Headphones - White for $18 at eBay with free shipping,https://slickdeals.net/f/14036003-jbl-e25bt-wireless-in-ear-bluetooth-headphones-white-for-18-at-ebay-with-free-shipping?src=catpagev2,$18,eBay
